ts_iso,avg_cwnd_pkts,avg_rtt_ms,num_conns_with_cwnd
2026-03-18T17:47:57.249034+00:00,2.0,35.671,1
2026-03-18T17:47:57.453397+00:00,2.0,35.671,1
2026-03-18T17:47:57.659956+00:00,2.0,35.671,1
2026-03-18T17:47:57.875419+00:00,2.0,35.671,1
2026-03-18T17:47:58.078214+00:00,2.0,35.671,1
2026-03-18T17:47:58.284111+00:00,2.0,35.671,1
2026-03-18T17:47:58.488004+00:00,2.0,35.671,1
2026-03-18T17:47:58.695160+00:00,2.0,35.671,1
2026-03-18T17:47:58.903997+00:00,2.0,35.671,1
2026-03-18T17:47:59.106900+00:00,2.0,35.671,1
2026-03-18T17:47:59.309608+00:00,2.0,35.671,1
2026-03-18T17:47:59.512662+00:00,2.0,35.671,1
2026-03-18T17:47:59.715638+00:00,2.0,35.671,1
2026-03-18T17:47:59.922178+00:00,2.0,35.671,1
2026-03-18T17:48:00.127929+00:00,2.0,35.671,1
2026-03-18T17:48:00.331981+00:00,2.0,35.671,1
2026-03-18T17:48:00.536594+00:00,2.0,35.671,1
2026-03-18T17:48:00.745883+00:00,2.0,35.671,1
2026-03-18T17:48:00.959676+00:00,2.0,35.671,1
2026-03-18T17:48:01.169029+00:00,2.0,35.671,1
2026-03-18T17:48:01.378803+00:00,2.0,35.671,1
2026-03-18T17:48:01.588326+00:00,2.0,35.671,1
2026-03-18T17:48:01.799063+00:00,2.0,35.671,1
2026-03-18T17:48:02.005231+00:00,2.0,35.671,1
2026-03-18T17:48:02.210358+00:00,2.0,35.671,1
2026-03-18T17:48:02.419152+00:00,2.0,35.671,1
2026-03-18T17:48:02.628654+00:00,2.0,35.671,1
2026-03-18T17:48:02.839784+00:00,2.0,35.671,1
2026-03-18T17:48:03.050991+00:00,2.0,35.671,1
2026-03-18T17:48:03.262365+00:00,2.0,35.671,1
2026-03-18T17:48:03.471882+00:00,2.0,35.671,1
2026-03-18T17:48:03.681443+00:00,2.0,35.671,1
2026-03-18T17:48:03.891808+00:00,2.0,35.671,1
2026-03-18T17:48:04.102076+00:00,2.0,35.671,1
2026-03-18T17:48:04.309893+00:00,2.0,35.671,1
2026-03-18T17:48:04.522423+00:00,2.0,35.671,1
2026-03-18T17:48:04.727192+00:00,2.0,35.671,1
2026-03-18T17:48:04.930386+00:00,2.0,35.671,1
2026-03-18T17:48:05.135074+00:00,2.0,35.671,1
2026-03-18T17:48:05.338945+00:00,2.0,35.671,1
2026-03-18T17:48:05.543846+00:00,2.0,35.671,1
