ts_iso,target,rtt_ms
2026-03-18T17:33:03.398246+00:00,192.168.1.85,2.14
2026-03-18T17:33:03.600234+00:00,192.168.1.85,2.24
2026-03-18T17:33:03.801478+00:00,192.168.1.85,2.26
2026-03-18T17:33:04.002370+00:00,192.168.1.85,2.33
2026-03-18T17:33:04.204054+00:00,192.168.1.85,2.36
2026-03-18T17:33:04.405085+00:00,192.168.1.85,2.07
2026-03-18T17:33:04.606669+00:00,192.168.1.85,2.4
2026-03-18T17:33:04.808153+00:00,192.168.1.85,2.43
2026-03-18T17:33:05.009266+00:00,192.168.1.85,2.3
2026-03-18T17:33:05.209895+00:00,192.168.1.85,1.85
2026-03-18T17:33:05.411373+00:00,192.168.1.85,1.96
2026-03-18T17:33:05.611695+00:00,192.168.1.85,1.88
2026-03-18T17:33:05.813236+00:00,192.168.1.85,1.91
2026-03-18T17:33:06.014114+00:00,192.168.1.85,1.39
2026-03-18T17:33:06.216756+00:00,192.168.1.85,2.25
2026-03-18T17:33:06.417754+00:00,192.168.1.85,2.26
2026-03-18T17:33:06.619813+00:00,192.168.1.85,2.3
2026-03-18T17:33:06.820361+00:00,192.168.1.85,1.92
2026-03-18T17:33:07.021729+00:00,192.168.1.85,2.43
2026-03-18T17:33:07.227515+00:00,192.168.1.85,2.32
2026-03-18T17:33:07.429797+00:00,192.168.1.85,2.46
2026-03-18T17:33:07.631295+00:00,192.168.1.85,2.24
2026-03-18T17:33:07.832367+00:00,192.168.1.85,2.29
2026-03-18T17:33:08.036913+00:00,192.168.1.85,2.39
2026-03-18T17:33:08.240634+00:00,192.168.1.85,1.86
2026-03-18T17:33:08.445273+00:00,192.168.1.85,2.43
2026-03-18T17:33:08.646146+00:00,192.168.1.85,2.24
2026-03-18T17:33:08.846751+00:00,192.168.1.85,1.42
2026-03-18T17:33:09.047578+00:00,192.168.1.85,1.14
2026-03-18T17:33:09.249906+00:00,192.168.1.85,1.63
2026-03-18T17:33:09.452042+00:00,192.168.1.85,1.77
2026-03-18T17:33:09.652867+00:00,192.168.1.85,1.53
2026-03-18T17:33:09.853982+00:00,192.168.1.85,1.37
2026-03-18T17:33:10.054607+00:00,192.168.1.85,1.26
2026-03-18T17:33:10.255299+00:00,192.168.1.85,1.21
2026-03-18T17:33:10.456054+00:00,192.168.1.85,1.42
2026-03-18T17:33:10.656310+00:00,192.168.1.85,1.22
2026-03-18T17:33:10.857827+00:00,192.168.1.85,1.82
2026-03-18T17:33:11.058615+00:00,192.168.1.85,1.36
2026-03-18T17:33:11.259309+00:00,192.168.1.85,1.28
2026-03-18T17:33:11.460010+00:00,192.168.1.85,1.33
2026-03-18T17:33:11.660533+00:00,192.168.1.85,1.26
2026-03-18T17:33:11.860914+00:00,192.168.1.85,1.15
