ts_iso,avg_cwnd_pkts,avg_rtt_ms,num_conns_with_cwnd
2026-03-18T17:32:46.343357+00:00,10.0,3.507,1
2026-03-18T17:32:46.547726+00:00,10.0,3.507,1
2026-03-18T17:32:46.750779+00:00,10.0,3.507,1
2026-03-18T17:32:46.953790+00:00,10.0,0.11,1
2026-03-18T17:32:47.159252+00:00,10.0,0.11,1
2026-03-18T17:32:47.366612+00:00,10.0,0.11,1
2026-03-18T17:32:47.572007+00:00,10.0,0.11,1
2026-03-18T17:32:47.775409+00:00,10.0,0.11,1
2026-03-18T17:32:47.978321+00:00,10.0,0.11,1
2026-03-18T17:32:48.184171+00:00,10.0,0.11,1
2026-03-18T17:32:48.386568+00:00,10.0,0.11,1
2026-03-18T17:32:48.592849+00:00,10.0,0.11,1
2026-03-18T17:32:48.803492+00:00,10.0,0.11,1
2026-03-18T17:32:49.012258+00:00,10.0,0.11,1
2026-03-18T17:32:49.220126+00:00,10.0,0.11,1
2026-03-18T17:32:49.426463+00:00,10.0,0.11,1
2026-03-18T17:32:49.632714+00:00,10.0,0.11,1
2026-03-18T17:32:49.835688+00:00,10.0,0.11,1
2026-03-18T17:32:50.040079+00:00,10.0,0.11,1
2026-03-18T17:32:50.245907+00:00,10.0,0.11,1
2026-03-18T17:32:50.448994+00:00,10.0,0.11,1
2026-03-18T17:32:50.658053+00:00,10.0,0.11,1
2026-03-18T17:32:50.871304+00:00,10.0,0.11,1
2026-03-18T17:32:51.080915+00:00,10.0,0.11,1
2026-03-18T17:32:51.291158+00:00,10.0,0.11,1
2026-03-18T17:32:51.499506+00:00,10.0,0.11,1
2026-03-18T17:32:51.708394+00:00,10.0,0.11,1
2026-03-18T17:32:51.916668+00:00,10.0,0.11,1
2026-03-18T17:32:52.124140+00:00,10.0,0.11,1
2026-03-18T17:32:52.334038+00:00,10.0,0.11,1
2026-03-18T17:32:52.543389+00:00,10.0,0.11,1
2026-03-18T17:32:52.753764+00:00,10.0,0.11,1
2026-03-18T17:32:52.966427+00:00,10.0,0.11,1
2026-03-18T17:32:53.175722+00:00,10.0,0.11,1
2026-03-18T17:32:53.385563+00:00,10.0,0.11,1
2026-03-18T17:32:53.598162+00:00,10.0,0.11,1
2026-03-18T17:32:53.808912+00:00,10.0,0.11,1
2026-03-18T17:32:54.018379+00:00,10.0,0.11,1
2026-03-18T17:32:54.231033+00:00,10.0,0.11,1
2026-03-18T17:32:54.440794+00:00,10.0,0.11,1
2026-03-18T17:32:54.650546+00:00,10.0,0.11,1
2026-03-18T17:32:54.859672+00:00,10.0,0.11,1
2026-03-18T17:32:55.070263+00:00,10.0,0.11,1
2026-03-18T17:32:55.281131+00:00,10.0,0.11,1
2026-03-18T17:32:55.490120+00:00,10.0,0.11,1
2026-03-18T17:32:55.700463+00:00,10.0,0.11,1
2026-03-18T17:32:55.910256+00:00,10.0,0.11,1
2026-03-18T17:32:56.119817+00:00,10.0,0.11,1
2026-03-18T17:32:56.333009+00:00,10.0,0.11,1
2026-03-18T17:32:56.543102+00:00,10.0,0.11,1
2026-03-18T17:32:56.752465+00:00,10.0,0.11,1
2026-03-18T17:32:56.961674+00:00,10.0,0.11,1
2026-03-18T17:32:57.170420+00:00,10.0,0.11,1
2026-03-18T17:32:57.380360+00:00,10.0,0.11,1
2026-03-18T17:32:57.590243+00:00,10.0,0.11,1
2026-03-18T17:32:57.799152+00:00,10.0,0.11,1
2026-03-18T17:32:58.010133+00:00,10.0,0.11,1
2026-03-18T17:32:58.220604+00:00,10.0,0.11,1
2026-03-18T17:32:58.432121+00:00,10.0,0.11,1
2026-03-18T17:32:58.643070+00:00,10.0,0.11,1
2026-03-18T17:32:58.851960+00:00,10.0,0.11,1
2026-03-18T17:32:59.062818+00:00,10.0,0.11,1
2026-03-18T17:32:59.274247+00:00,10.0,0.11,1
2026-03-18T17:32:59.484529+00:00,10.0,0.11,1
2026-03-18T17:32:59.695861+00:00,10.0,0.11,1
2026-03-18T17:32:59.906599+00:00,10.0,0.11,1
2026-03-18T17:33:00.113663+00:00,10.0,0.11,1
2026-03-18T17:33:00.325065+00:00,10.0,0.11,1
2026-03-18T17:33:00.536379+00:00,10.0,0.11,1
2026-03-18T17:33:00.745270+00:00,10.0,0.11,1
2026-03-18T17:33:00.953331+00:00,10.0,0.11,1
2026-03-18T17:33:01.163535+00:00,10.0,0.11,1
2026-03-18T17:33:01.378077+00:00,10.0,0.11,1
2026-03-18T17:33:01.589117+00:00,10.0,0.11,1
